vendor_symbol,company_name,sector,industry,country,shares_outstanding,source
ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,United States,197537710.0,yfinance
ABVC,"ABVC BioPharma, Inc.",Healthcare,Biotechnology,United States,26000442.0,yfinance
ABX,"Abacus Global Management, Inc.",Financial Services,Insurance - Life,United States,95922367.0,yfinance
ACA,"Arcosa, Inc.",Industrials,Engineering & Construction,United States,48815089.0,yfinance
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,United States,171235870.0,yfinance
ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,61942146.0,yfinance
ACCL,Acco Group Holdings Limited,Industrials,Consulting Services,Hong Kong,13949900.0,yfinance
ACCO,Acco Brands Corporation,Industrials,Business Equipment & Supplies,United States,,yfinance
ACCS,ACCESS Newswire Inc.,Communication Services,Advertising Agencies,United States,3882144.0,yfinance
ACDC,ProFrac Holding Corp.,Energy,Oil & Gas Equipment & Services,United States,180920753.0,yfinance
ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,United States,81392900.0,yfinance
ACET,"Adicet Bio, Inc.",Healthcare,Biotechnology,United States,9348236.0,yfinance
ACFN,"Acorn Energy, Inc.",Technology,Scientific & Technical Instruments,United States,2508258.0,yfinance
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,341000000.0,yfinance
ACH,"Accendra Health, Inc.",Healthcare,Medical Distribution,United States,,yfinance
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,United States,93100275.0,yfinance
ACHR,Archer Aviation Inc.,Industrials,Aerospace & Defense,United States,762864879.0,yfinance
ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,United States,102659057.0,yfinance
ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,United States,485325683.0,yfinance
ACIC,American Coastal Insurance Corporation,Financial Services,Insurance - Property & Casualty,United States,48464047.0,yfinance
ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,101773573.0,yfinance
ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,United States,101661570.0,yfinance
ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,United States,30733897.0,yfinance
ACM,AECOM,Industrials,Engineering & Construction,United States,,yfinance
ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,United States,64117679.0,yfinance
ACN,Accenture plc,Technology,Information Technology Services,Ireland,611942109.0,yfinance
ACNB,ACNB Corporation,Financial Services,Banks - Regional,United States,10169930.0,yfinance
ACNT,Ascent Industries Co.,Basic Materials,Chemicals,United States,9038215.0,yfinance
ACOG,Alpha Cognition Inc. Common Stock,Healthcare,Biotechnology,United States,21774104.0,yfinance
ACON,"Aclarion, Inc.",Healthcare,Health Information Services,United States,2462250.0,yfinance
ACR,ACRES Commercial Realty Corp.,Real Estate,REIT - Mortgage,United States,7075542.0,yfinance
ACRE,Ares Commercial Real Estate Corporation,Real Estate,REIT - Mortgage,United States,55481113.0,yfinance
ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,United States,139663680.0,yfinance
ACRV,"Acrivon Therapeutics, Inc.",Healthcare,Biotechnology,United States,42801729.0,yfinance
ACT,"Enact Holdings, Inc.",Financial Services,Insurance - Specialty,United States,139600745.0,yfinance
ACTG,Acacia Research Corporation,Industrials,Business Equipment & Supplies,United States,96589132.0,yfinance
ACTU,"Actuate Therapeutics, Inc. Common stock",Healthcare,Biotechnology,United States,23925852.0,yfinance
ACU,Acme,Consumer Defensive,Household & Personal Products,United States,,yfinance
ACVA,ACV Auctions Inc.,Consumer Cyclical,Auto & Truck Dealerships,United States,174584894.0,yfinance
ACXP,"Acurx Pharmaceuticals, Inc.",Healthcare,Biotechnology,United States,4297738.0,yfinance
AD,"Array Digital Infrastructure, Inc.",Communication Services,Telecom Services,United States,53437077.0,yfinance
ADAG,Adagene Inc.,Healthcare,Biotechnology,China,66072594.0,yfinance
ADAM,"Adamas Trust, Inc.",Real Estate,REIT - Mortgage,United States,89879786.0,yfinance
ADBE,Adobe Inc.,Technology,Software - Application,United States,397500000.0,yfinance
ADC,Agree Realty Corporation,Real Estate,REIT - Retail,United States,120102859.0,yfinance
ADCT,ADC Therapeutics SA,Healthcare,Drug Manufacturers - Specialty & Generic,Switzerland,127191158.0,yfinance
ADEA,Adeia Inc.,Technology,Software - Application,United States,110293749.0,yfinance
ADGM,"Adagio Medical Holdings, Inc.",Healthcare,Medical Devices,United States,22210459.0,yfinance
ADI,"Analog Devices, Inc.",Technology,Semiconductors,United States,,yfinance
ADIL,"Adial Pharmaceuticals, Inc.",Healthcare,Biotechnology,United States,2188469.0,yfinance
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,United States,,yfinance
ADMA,"ADMA Biologics, Inc.",Healthcare,Biotechnology,United States,231772715.0,yfinance
ADNT,Adient plc,Consumer Cyclical,Auto Parts,Ireland,78413387.0,yfinance
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,United States,397800000.0,yfinance
ADPT,Adaptive Biotechnologies Corporation,Healthcare,Diagnostics & Research,United States,159059622.0,yfinance
ADSE,ADS-TEC Energy PLC,Industrials,Electrical Equipment & Parts,Ireland,75129730.0,yfinance
ADSK,"Autodesk, Inc.",Technology,Software - Application,United States,211145251.0,yfinance
ADT,ADT Inc.,Industrials,Security & Protection Services,United States,675814723.0,yfinance
ADTN,"ADTRAN Holdings, Inc.",Technology,Communication Equipment,United States,80998100.0,yfinance
ADUR,Aduro Clean Technologies Inc.,Industrials,Pollution & Treatment Controls,Canada,35443424.0,yfinance
ADUS,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,United States,18664776.0,yfinance
ADV,Advantage Solutions Inc.,Communication Services,Advertising Agencies,United States,13295280.0,yfinance
ADVB,Advanced Biomed Inc.,Healthcare,Diagnostics & Research,United States,1652133.0,yfinance
AEBI,Aebi Schmidt Holding AG,Industrials,Farm & Heavy Construction Machinery,Switzerland,77506125.0,yfinance
AEC,Anfield Energy Inc.,Energy,Uranium,Canada,,yfinance
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,United States,,yfinance
AEG,Aegon Ltd.,Financial Services,Insurance - Diversified,Netherlands,1470418770.0,yfinance
AEHL,Antelope Enterprise Holdings Limited,Industrials,Building Products & Equipment,China,15596948.0,yfinance
AEHR,"Aehr Test Systems, Inc.",Technology,Semiconductor Equipment & Materials,United States,32620450.0,yfinance
AEI,Alset Inc.,Real Estate,Real Estate - Development,United States,38895830.0,yfinance
AEIS,"Advanced Energy Industries, Inc.",Industrials,Electrical Equipment & Parts,United States,40010657.0,yfinance
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,Canada,506364864.0,yfinance
AEMD,"Aethlon Medical, Inc.",Healthcare,Medical Devices,United States,2633560.0,yfinance
AENT,Alliance Entertainment Holding Corporation,Communication Services,Entertainment,United States,50957370.0,yfinance
AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail,United States,,yfinance
AEON,"AEON Biopharma, Inc.",Healthcare,Biotechnology,United States,44158810.0,yfinance
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,United States,544397352.0,yfinance
AER,AerCap Holdings N.V.,Industrials,Rental & Leasing Services,Ireland,157184065.0,yfinance
AERT,"Aeries Technology, Inc",Industrials,Consulting Services,Singapore,5635035.0,yfinance
AES,The AES Corporation,Utilities,Utilities - Diversified,United States,713157713.0,yfinance
AESI,Atlas Energy Solutions Inc.,Energy,Oil & Gas Equipment & Services,United States,124905584.0,yfinance
AEVA,"Aeva Technologies, Inc.",Technology,Software - Infrastructure,United States,67535203.0,yfinance
AEYE,"AudioEye, Inc.",Technology,Software - Application,United States,12493415.0,yfinance
AFBI,"Affinity Bancshares, Inc.",Financial Services,Banks - Regional,United States,6094885.0,yfinance
AFCG,Advanced Flower Capital Inc.,Financial Services,Asset Management,United States,22809064.0,yfinance
AFG,"American Financial Group, Inc.",Financial Services,Insurance - Property & Casualty,United States,,yfinance
AFJK,"Aimei Health Technology Co., Ltd",Financial Services,Shell Companies,United States,3166332.0,yfinance
AFL,AFLAC Incorporated,Financial Services,Insurance - Life,United States,,yfinance
AFRI,Forafric Global PLC,Consumer Defensive,Farm Products,Gibraltar,26963815.0,yfinance
AFRM,"Affirm Holdings, Inc.",Financial Services,Credit Services,United States,294357801.0,yfinance
AFYA,Afya Limited,Consumer Defensive,Education & Training Services,Brazil,52878489.0,yfinance
AG,First Majestic Silver Corp.,Basic Materials,Silver,Canada,492906383.0,yfinance
AGBK,AGI Inc,Financial Services,Banks - Regional,Brazil,58700711.0,yfinance
AGCC,Agencia Comercial Spirits Ltd,Consumer Defensive,Beverages - Wineries & Distilleries,Taiwan,22786500.0,yfinance
AGCO,AGCO Corporation,Industrials,Farm & Heavy Construction Machinery,United States,70031729.0,yfinance
AGEN,Agenus Inc.,Healthcare,Biotechnology,United States,41642431.0,yfinance
AGI,Alamos Gold Inc.,Basic Materials,Gold,Canada,418604465.0,yfinance
AGIG,Abundia Global Impact Group Inc,Utilities,Utilities - Renewable,United States,44022821.0,yfinance
AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,Biotechnology,United States,59701882.0,yfinance
AGL,"agilon health, inc.",Healthcare,Medical Care Facilities,United States,16683786.0,yfinance
AGM,Federal Agricultural Mortgage Corporation,Financial Services,Credit Services,United States,9322129.0,yfinance
AGM-A,Federal Agricultural Mortgage Corporation,Financial Services,Credit Services,United States,1030780.0,yfinance
AGMB,AgomAb Therapeutics NV,Healthcare,Biotechnology,Belgium,49247975.0,yfinance
AGMH,AGM Group Holdings Inc.,Technology,Computer Hardware,Hong Kong,2298931.0,yfinance
AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,United States,1164129272.0,yfinance
AGNT,"AGNT, Inc",Real Estate,Real Estate Services,United States,164323924.0,yfinance
AGO,Assured Guaranty Ltd.,Financial Services,Insurance - Specialty,Bermuda,,yfinance
AGPU,Axe Compute Inc.,Technology,Software - Infrastructure,United States,11384940.0,yfinance
AGRO,Adecoagro S.A.,Consumer Defensive,Farm Products,Luxembourg,144308466.0,yfinance
AGRZ,Agroz Inc.,Consumer Defensive,Farm Products,Malaysia,21673485.0,yfinance
AGX,"Argan, Inc.",Industrials,Engineering & Construction,United States,14019247.0,yfinance
AGYS,"Agilysys, Inc.",Technology,Software - Application,United States,28205788.0,yfinance
AHCO,AdaptHealth Corp.,Healthcare,Medical Devices,United States,136054152.0,yfinance
AHMA,Ambitions Enterprise Management Co. L.L.C,Consumer Cyclical,Travel Services,United Arab Emirates,10965000.0,yfinance
AHR,"American Healthcare REIT, Inc.",Real Estate,REIT - Healthcare Facilities,United States,206722308.0,yfinance
AHRT,AH REALTY TRUST INC,Real Estate,REIT - Diversified,United States,75955396.0,yfinance
AHT,Ashford Hospitality Trust Inc,Real Estate,REIT - Hotel & Motel,United States,,yfinance
AI,"C3.ai, Inc.",Technology,Software - Infrastructure,United States,,yfinance
AIB,AIB Data Centers Inc.,Technology,Software - Infrastructure,United States,,yfinance
AIDX,"20/20 Biolabs, Inc.",Healthcare,Medical Devices,United States,12251198.0,yfinance
AIFA,All In FutureTech Alliance Inc.,Technology,Software - Infrastructure,United States,6377521.0,yfinance
AIFC,AI Financial Corporation,Technology,Software - Infrastructure,United States,139836511.0,yfinance
AIFF,"Firefly Neuroscience, Inc.",Technology,Software - Application,United States,15605821.0,yfinance
AIFU,AIFU Inc.,Financial Services,Insurance Brokers,China,5925706.0,yfinance
AIG,"American International Group, I",Financial Services,Insurance - Diversified,United States,,yfinance
AIHS,Senmiao Technology Limited,Industrials,Rental & Leasing Services,China,14557489.0,yfinance
AII,"American Integrity Insurance Group, Inc.",Financial Services,Insurance - Property & Casualty,United States,19590817.0,yfinance
AIIO,Robo.ai Inc.,Consumer Cyclical,Auto Manufacturers,United Arab Emirates,158127877.0,yfinance
AIIR,AIR Global PLC,Consumer Defensive,Tobacco,United Arab Emirates,160386602.0,yfinance
AIM,AIM ImmunoTech Inc.,Healthcare,Biotechnology,United States,27724245.0,yfinance
AIMD,"Ainos, Inc.",Technology,Scientific & Technical Instruments,United States,7364542.0,yfinance
AIN,Albany International Corp.,Consumer Cyclical,Textile Manufacturing,United States,28354963.0,yfinance
AIOS,AIOS Tech Inc.,Technology,Information Technology Services,Hong Kong,3240000.0,yfinance
AIOT,"PowerFleet, Inc.",Technology,Software - Infrastructure,United States,134225918.0,yfinance
AIP,"Arteris, Inc.",Technology,Semiconductors,United States,46171982.0,yfinance
AIR,AAR Corp.,Industrials,Aerospace & Defense,United States,39892472.0,yfinance
AIRE,reAlpha Tech Corp.,Real Estate,Real Estate Services,United States,5364751.0,yfinance
AIRG,"Airgain, Inc.",Technology,Communication Equipment,United States,12675780.0,yfinance
AIRI,Air Industries Group,Industrials,Aerospace & Defense,United States,4850658.0,yfinance
AIRJ,AirJoule Technologies Corporation,Industrials,Building Products & Equipment,United States,72400588.0,yfinance
AIRO,"AIRO Group Holdings, Inc.",Industrials,Aerospace & Defense,United States,31445644.0,yfinance
AIRS,"AirSculpt Technologies, Inc.",Healthcare,Medical Care Facilities,United States,70545681.0,yfinance
AIRT,"Air T, Inc.",Industrials,Conglomerates,United States,2691664.0,yfinance
AISP,"Airship AI Holdings, Inc.",Technology,Software - Infrastructure,United States,34439562.0,yfinance
AIT,Applied Industrial Technologies,Industrials,Industrial Distribution,United States,,yfinance
AIV,Apartment Investment and Manage,Real Estate,REIT - Residential,United States,,yfinance
AIXC,"AIxCrypto Holdings, Inc.",Technology,Software - Infrastructure,United States,20234993.0,yfinance
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,United States,,yfinance
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,United States,,yfinance
AKA,a.k.a. Brands Holding Corp.,Consumer Cyclical,Apparel Retail,United States,10822092.0,yfinance
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,United States,145385451.0,yfinance
AKAN,Akanda Corp.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,540841.0,yfinance
AKBA,"Akebia Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,United States,268258243.0,yfinance
AKO-A,Embotelladora Andina S.A.,Consumer Defensive,Beverages - Non-Alcoholic,Chile,78881550.0,yfinance
AKO-B,Embotelladora Andina S.A.,Consumer Defensive,Beverages - Non-Alcoholic,Chile,78880217.0,yfinance
AKR,Acadia Realty Trust,Real Estate,REIT - Retail,United States,137329896.0,yfinance
AKTS,"Aktis Oncology, Inc.",Healthcare,Biotechnology,United States,53404618.0,yfinance
ALAB,"Astera Labs, Inc.",Technology,Semiconductors,United States,171407939.0,yfinance
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,United States,117934651.0,yfinance
ALC,Alcon Inc.,Healthcare,Medical Instruments & Supplies,Switzerland,487700000.0,yfinance
ALCO,"Alico, Inc.",Consumer Defensive,Farm Products,United States,7416327.0,yfinance
ALDF,Aldel Financial II Inc.,Financial Services,Shell Companies,United States,23707500.0,yfinance
ALDX,"Aldeyra Therapeutics, Inc.",Healthcare,Biotechnology,United States,60321068.0,yfinance
ALEC,"Alector, Inc.",Healthcare,Biotechnology,United States,111025187.0,yfinance
ALG,"Alamo Group, Inc.",Industrials,Farm & Heavy Construction Machinery,United States,,yfinance
ALGM,"Allegro MicroSystems, Inc.",Technology,Semiconductors,United States,186309064.0,yfinance
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,United States,71618127.0,yfinance
ALGS,"Aligos Therapeutics, Inc.",Healthcare,Biotechnology,United States,5388223.0,yfinance
ALGT,Allegiant Travel Company,Industrials,Airlines,United States,26877500.0,yfinance
ALH,Alliance Laundry Holdings Inc.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",United States,198608652.0,yfinance
ALHC,"Alignment Healthcare, Inc.",Healthcare,Healthcare Plans,United States,207435149.0,yfinance
ALIT,"Alight, Inc.",Technology,Software - Application,United States,26342351.0,yfinance
ALK,"Alaska Air Group, Inc.",Industrials,Airlines,United States,111566970.0,yfinance
ALKS,Alkermes plc,Healthcare,Drug Manufacturers - Specialty & Generic,Ireland,167763272.0,yfinance
ALKT,"Alkami Technology, Inc.",Technology,Software - Application,United States,106941980.0,yfinance
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,United States,257420930.0,yfinance
ALLE,Allegion plc,Industrials,Security & Protection Services,Ireland,85036786.0,yfinance
ALLO,"Allogene Therapeutics, Inc.",Healthcare,Biotechnology,United States,345154561.0,yfinance
ALLR,"Allarity Therapeutics, Inc.",Healthcare,Biotechnology,United States,15910724.0,yfinance
ALLT,Allot Ltd.,Technology,Software - Infrastructure,Israel,48923099.0,yfinance
ALLY,Ally Financial Inc.,Financial Services,Credit Services,United States,304199693.0,yfinance
ALM,Almonty Industries Inc.,Basic Materials,Other Industrial Metals & Mining,United States,283741849.0,yfinance
ALMR,"Alamar Biosciences, Inc.",Healthcare,Medical Devices,United States,69311186.0,yfinance
ALMS,Alumis Inc.,Healthcare,Biotechnology,United States,123432072.0,yfinance
ALMU,"Aeluma, Inc.",Technology,Semiconductors,United States,18305335.0,yfinance
ALNT,Allient Inc.,Technology,Electronic Components,United States,16996512.0,yfinance
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology,United States,133809118.0,yfinance
ALOT,"AstroNova, Inc.",Technology,Computer Hardware,United States,7771326.0,yfinance
ALOV,"Aldabra 4 Liquidity Opportunity Vehicle, Inc.",Financial Services,Shell Companies,United States,30015000.0,yfinance
ALOY,REalloys Inc.,Basic Materials,Other Industrial Metals & Mining,United States,68231038.0,yfinance
ALP,Alpha Compute Corp,Financial Services,Asset Management,British Virgin Islands,23534388.0,yfinance
ALPS,Alps Group Inc,,,,166400326.0,yfinance
ALRM,"Alarm.com Holdings, Inc.",Technology,Software - Application,United States,49460583.0,yfinance
ALRS,Alerus Financial Corporation,Financial Services,Banks - Regional,United States,24985815.0,yfinance
ALSN,"Allison Transmission Holdings, Inc.",Consumer Cyclical,Auto Parts,United States,82935981.0,yfinance
ALT,"Altimmune, Inc.",Healthcare,Biotechnology,United States,194474154.0,yfinance
ALTG,Alta Equipment Group Inc.,Industrials,Rental & Leasing Services,United States,32535540.0,yfinance
ALTI,"AlTi Global, Inc.",Financial Services,Asset Management,United States,110744073.0,yfinance
ALTO,"Alto Ingredients, Inc.",Basic Materials,Specialty Chemicals,United States,77485153.0,yfinance
ALV,"Autoliv, Inc.",Consumer Cyclical,Auto Parts,Sweden,73237217.0,yfinance
ALVO,Alvotech,Healthcare,Drug Manufacturers - Specialty & Generic,Luxembourg,338219831.0,yfinance
ALX,"Alexander's, Inc.",Real Estate,REIT - Retail,United States,5107290.0,yfinance
ALXO,ALX Oncology Holdings Inc.,Healthcare,Biotechnology,United States,134562917.0,yfinance
ALZN,"Alzamend Neuro, Inc.",Healthcare,Biotechnology,United States,4791525.0,yfinance
AM,Antero Midstream Corporation,Energy,Oil & Gas Midstream,United States,474674000.0,yfinance
AMAL,Amalgamated Financial Corp.,Financial Services,Banks - Regional,United States,29900147.0,yfinance
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,United States,793959430.0,yfinance
AMBA,"Ambarella, Inc.",Technology,Semiconductor Equipment & Materials,United States,43868185.0,yfinance
AMBO,Ambow Education Holding Ltd. Am,Consumer Defensive,Education & Training Services,United States,,yfinance
AMBP,Ardagh Metal Packaging S.A.,Consumer Cyclical,Packaging & Containers,Luxembourg,597706314.0,yfinance
AMBQ,"Ambiq Micro, Inc.",Technology,Semiconductors,United States,24145438.0,yfinance
AMC,"AMC Entertainment Holdings, Inc",Communication Services,Entertainment,United States,,yfinance
AMCI,AMC Robotics Corporation,Technology,Computer Hardware,United States,22595384.0,yfinance
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,Switzerland,462345690.0,yfinance
AMCX,AMC Global Media Inc.,Communication Services,Entertainment,United States,32443304.0,yfinance
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,United States,,yfinance
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,United States,229203002.0,yfinance
AMG,"Affiliated Managers Group, Inc.",Financial Services,Asset Management,United States,,yfinance
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,United States,539708274.0,yfinance
AMH,American Homes 4 Rent,Real Estate,REIT - Residential,United States,,yfinance
AMIX,"Autonomix Medical, Inc.",Healthcare,Medical Devices,United States,543000.0,yfinance
AMKR,"Amkor Technology, Inc.",Technology,Semiconductor Equipment & Materials,United States,248452472.0,yfinance
AMLX,"Amylyx Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,United States,111186317.0,yfinance
AMN,"AMN Healthcare Services, Inc.",Healthcare,Medical Care Facilities,United States,38786052.0,yfinance
AMOD,"Alpha Modus Holdings, Inc.",Technology,Software - Application,United States,4876593.0,yfinance
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,United States,88400000.0,yfinance
AMPG,"AmpliTech Group, Inc.",Technology,Communication Equipment,United States,25338799.0,yfinance
AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,United States,44092919.0,yfinance
AMPL,"Amplitude, Inc.",Technology,Software - Application,United States,103867086.0,yfinance
AMPX,"Amprius Technologies, Inc.",Industrials,Electrical Equipment & Parts,United States,141627170.0,yfinance
AMPY,Amplify Energy Corp.,Energy,Oil & Gas E&P,United States,41287437.0,yfinance
AMR,"Alpha Metallurgical Resources, Inc.",Basic Materials,Coking Coal,United States,12685495.0,yfinance
AMRC,"Ameresco, Inc.",Industrials,Engineering & Construction,United States,34951417.0,yfinance
AMRX,"Amneal Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,United States,319331346.0,yfinance
AMRZ,Amrize Ltd,Basic Materials,Building Materials,Switzerland,553536609.0,yfinance
AMS,American Shared Hospital Servic,Healthcare,Medical Care Facilities,United States,,yfinance
AMSC,American Superconductor Corporation,Industrials,Specialty Industrial Machinery,United States,48462307.0,yfinance
AMSF,"AMERISAFE, Inc.",Financial Services,Insurance - Specialty,United States,18703771.0,yfinance
AMST,Amesite Inc.,Technology,Software - Application,United States,6549851.0,yfinance
AMT,American Tower Corporation,Real Estate,REIT - Specialty,United States,465960048.0,yfinance
AMTB,Amerant Bancorp Inc.,Financial Services,Banks - Regional,United States,38468450.0,yfinance
AMTM,"Amentum Holdings, Inc.",Industrials,Specialty Business Services,United States,244316319.0,yfinance
AMTX,"Aemetis, Inc.",Basic Materials,Specialty Chemicals,United States,70366477.0,yfinance
AMUB,UBS ETRACS Alerian MLP Index ETN Series B,,,,,yfinance
AMWL,American Well Corporation,Healthcare,Health Information Services,United States,15061188.0,yfinance
AMZE,"Amaze Holdings, Inc.",Technology,Software - Application,United States,7348248.0,yfinance
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,United States,10757109436.0,yfinance
AN,"AutoNation, Inc.",Consumer Cyclical,Auto & Truck Dealerships,United States,33461495.0,yfinance
ANAB,"AnaptysBio, Inc.",Healthcare,Biotechnology,United States,29608481.0,yfinance
ANDE,"The Andersons, Inc.",Consumer Defensive,Food Distribution,United States,34054056.0,yfinance
ANDG,Andersen Group Inc.,Consumer Cyclical,Personal Services,United States,12951358.0,yfinance
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,United States,1259169438.0,yfinance
ANF,Abercrombie & Fitch Co.,Consumer Cyclical,Apparel Retail,United States,44431710.0,yfinance
ANGH,Anghami Inc.,Communication Services,Entertainment,United Arab Emirates,9064808.0,yfinance
ANGI,Angi Inc.,Communication Services,Internet Content & Information,United States,40448016.0,yfinance
ANGO,"AngioDynamics, Inc.",Healthcare,Medical Instruments & Supplies,United States,41332389.0,yfinance
ANGX,"Angel Studios, Inc.",Communication Services,Entertainment,United States,129848462.0,yfinance
ANIK,"Anika Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,United States,13382966.0,yfinance
ANIP,"ANI Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,United States,22734618.0,yfinance
ANIX,"Anixa Biosciences, Inc.",Healthcare,Biotechnology,United States,34023063.0,yfinance
ANNA,"AleAnna, Inc.",Energy,Oil & Gas E&P,United States,40940000.0,yfinance
ANNX,"Annexon, Inc.",Healthcare,Biotechnology,United States,163842538.0,yfinance
ANPA,Rich Sparkle Holdings Limited,Industrials,Specialty Business Services,Hong Kong,15101755.0,yfinance
ANRO,"Alto Neuroscience, Inc.",Healthcare,Biotechnology,United States,35093940.0,yfinance
ANTA,Antalpha Platform Holding Compa,Financial Services,Credit Services,Singapore,24014343.0,yfinance
ANTX,"AN2 Therapeutics, Inc.",Healthcare,Biotechnology,United States,36016161.0,yfinance
ANVS,"Annovis Bio, Inc.",Healthcare,Biotechnology,United States,42541868.0,yfinance
ANY,Sphere 3D Corp.,Financial Services,Capital Markets,United States,7641767.0,yfinance
AOMR,"Angel Oak Mortgage REIT, Inc.",Real Estate,REIT - Mortgage,United States,24914647.0,yfinance
AON,Aon plc,Financial Services,Insurance Brokers,Ireland,212125434.0,yfinance
AORT,"Artivion, Inc.",Healthcare,Medical Devices,United States,48543350.0,yfinance
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,United States,110047214.0,yfinance
AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductors,United States,29929578.0,yfinance
AOUT,"American Outdoor Brands, Inc.",Consumer Cyclical,Leisure,United States,12507120.0,yfinance
AP,Ampco-Pittsburgh Corporation,Industrials,Metal Fabrication,United States,,yfinance
APA,APA Corporation,Energy,Oil & Gas E&P,United States,,yfinance
APAC,StoneBridge Acquisition II Corporation,Financial Services,Shell Companies,United States,6133750.0,yfinance
APAM,Artisan Partners Asset Management Inc.,Financial Services,Asset Management,United States,70993257.0,yfinance
APC,ARKO Petroleum Corp.,Energy,Oil & Gas Refining & Marketing,United States,12570223.0,yfinance
APD,"Air Products and Chemicals, Inc",Basic Materials,Specialty Chemicals,United States,222685530.0,yfinance
APEI,"American Public Education, Inc.",Consumer Defensive,Education & Training Services,United States,18343488.0,yfinance
APG,APi Group Corporation,Industrials,Engineering & Construction,United States,432160297.0,yfinance
APGE,"Apogee Therapeutics, Inc.",Healthcare,Biotechnology,United States,62140183.0,yfinance
APH,Amphenol Corporation,Technology,Electronic Components,United States,,yfinance
API,"Agora, Inc.",Technology,Software - Application,United States,65504801.0,yfinance
APLD,Applied Digital Corporation,Technology,Information Technology Services,United States,287883603.0,yfinance
APLE,"Apple Hospitality REIT, Inc.",Real Estate,REIT - Hotel & Motel,United States,236067554.0,yfinance
APLM,"Apollomics, Inc.",Healthcare,Biotechnology,United States,2196052.0,yfinance
APO,"Apollo Global Management, Inc.",Financial Services,Asset Management,United States,576517513.0,yfinance
APOG,"Apogee Enterprises, Inc.",Industrials,Building Products & Equipment,United States,20868294.0,yfinance
APP,AppLovin Corporation,Communication Services,Advertising Agencies,United States,305732000.0,yfinance
APPF,"AppFolio, Inc.",Technology,Software - Application,United States,24087367.0,yfinance
APPN,Appian Corporation,Technology,Software - Infrastructure,United States,42324735.0,yfinance
APPS,"Digital Turbine, Inc.",Technology,Software - Application,United States,120936038.0,yfinance
APRE,"Aprea Therapeutics, Inc.",Healthcare,Biotechnology,United States,12382776.0,yfinance
APT,"Alpha Pro Tech, Ltd.",Industrials,Building Products & Equipment,Canada,10216932.0,yfinance
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,Switzerland,211620527.0,yfinance
